DT,PRD_DE,C1_NM,LST_CHN_DE,standardized_DT,normalized_DT
98.2,2023-04-01,울산광역시,2023-05-19,-0.7231878186833671,44.76923076923077
99.7,2023-05-01,울산광역시,2023-06-23,-0.6195145052165363,45.92307692307693
103.8,2023-06-01,울산광역시,2023-07-18,-0.33614078174053225,49.07692307692307
104.4,2023-07-01,울산광역시,2023-08-17,-0.29467145635379927,49.53846153846154
105.3,2023-08-01,울산광역시,2023-10-10,-0.23246746827370135,50.230769230769226
106.0,2023-09-01,울산광역시,2023-10-24,-0.18408658865584676,50.76923076923078
104.4,2023-10-01,울산광역시,2023-11-20,-0.29467145635379927,49.53846153846154
96.4,2023-11-01,울산광역시,2023-12-26,-0.847595794843564,43.38461538461539
95.5,2023-12-01,울산광역시,2024-01-15,-0.9097997829236629,42.69230769230769
102.8,2024-01-01,울산광역시,2024-02-16,-0.4052563240517528,48.3076923076923
100.4,2024-02-01,울산광역시,2024-03-19,-0.5711336255986816,46.46153846153847
121.6,2014-03-01,강원특별자치도,2014-06-11,0.8941158713991939,62.76923076923077
114.2,2014-04-01,강원특별자치도,2014-06-11,0.38266085829616225,57.07692307692308
110.3,2014-05-01,강원특별자치도,2014-06-11,0.11311024328240156,54.076923076923066
112.7,2014-06-01,강원특별자치도,2014-07-14,0.27898754482933136,55.923076923076934
117.3,2014-07-01,강원특별자치도,2014-08-14,0.5969190394609456,59.46153846153845
121.0,2014-08-01,강원특별자치도,2014-09-16,0.852646546012462,62.30769230769231
116.1,2014-09-01,강원특별자치도,2014-10-16,0.5139803886874807,58.538461538461526
123.8,2014-10-01,강원특별자치도,2014-11-24,1.0461700644838794,64.46153846153845
116.4,2014-11-01,강원특별자치도,2014-12-18,0.5347150513808477,58.769230769230774
113.5,2014-12-01,강원특별자치도,2015-01-09,0.3342799786783076,56.53846153846154
130.0,2015-01-01,강원특별자치도,2015-02-24,1.4746864268134472,69.23076923076923
