url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_5a84cb395e770a1d49ce9dcbb6ad2420
주제,통검
범위,합계
기간,일간 : 2016-05-18 ~ 2024-05-18
성별,"전체(여성,남성)"
연령대,전체
날짜,부동산
2018-05-20,26.15431
2018-05-21,31.50611
2018-05-22,32.54668
2018-05-23,32.60541
2018-05-24,31.98972
2018-05-25,29.06139
2018-05-26,28.59482
2018-05-27,31.30128
2018-05-28,34.05925
2018-05-29,33.33293
2018-05-30,32.05706
2018-05-31,32.96075
2018-06-01,28.76116
2018-06-02,28.8269
2018-06-03,28.0599
2018-06-04,31.88931
2018-06-05,30.47415
2018-06-06,30.39137
2018-06-07,32.9367
2018-06-08,28.98162
2018-06-09,26.70867
2018-06-10,27.05038
2018-06-11,31.49709
2018-06-12,29.35581
2018-06-13,29.03073
2018-06-14,31.02089
2018-06-15,31.39788
2018-06-16,27.97612
2018-06-17,28.93132
2018-06-18,31.73418
2018-06-19,33.43474
2018-06-20,31.33715
2018-06-21,30.99143
2018-06-22,30.57776
2018-06-23,27.03275
2018-06-24,27.19729
2018-06-25,31.82056
2018-06-26,31.49308
2018-06-27,28.79163
2018-06-28,26.12124
2018-06-29,26.26414
2018-06-30,25.82242
2018-07-01,26.03526
2018-07-02,30.6407
2018-07-03,30.84753
2018-07-04,30.31562
2018-07-05,31.76946
2018-07-06,28.57998
2018-07-07,26.08657
2018-07-08,26.17596
2018-07-09,32.94512
2018-07-10,32.30317
2018-07-11,31.27923
2018-07-12,29.86888
2018-07-13,27.98013
2018-07-14,26.79705
2018-07-15,30.73389
2018-07-16,32.54829
2018-07-17,32.14624
2018-07-18,30.74531
2018-07-19,32.71323
2018-07-20,28.95116
2018-07-21,26.70466
2018-07-22,27.60595
2018-07-23,31.41171
2018-07-24,30.20098
2018-07-25,29.37565
2018-07-26,30.01479
2018-07-27,28.16472
2018-07-28,26.66378
2018-07-29,27.14839
2018-07-30,32.68678
2018-07-31,31.35379
2018-08-01,30.59259
2018-08-02,32.15406
2018-08-03,29.81356
2018-08-04,27.52838
2018-08-05,29.26502
2018-08-06,37.36135
2018-08-07,38.42939
2018-08-08,36.69576
2018-08-09,37.37178
2018-08-10,39.2487
2018-08-11,33.8456
2018-08-12,33.93298
2018-08-13,39.57138
2018-08-14,37.58402
2018-08-15,38.28388
2018-08-16,41.08675
2018-08-17,39.83954
2018-08-18,37.61428
2018-08-19,37.77863
2018-08-20,51.66147
2018-08-21,47.65589
2018-08-22,45.93168
2018-08-23,44.36481
2018-08-24,52.54492
2018-08-25,50.77963
2018-08-26,46.37581
2018-08-27,54.93752
2018-08-28,48.75319
2018-08-29,45.15346
2018-08-30,50.22426
2018-08-31,48.87404
2018-09-01,44.77847
2018-09-02,40.23196
2018-09-03,52.13246
2018-09-04,54.74572
2018-09-05,57.22912
2018-09-06,54.51765
2018-09-07,51.93645
2018-09-08,46.2736
2018-09-09,48.60047
2018-09-10,60.85911
2018-09-11,56.43887
2018-09-12,55.08764
2018-09-13,63.48941
2018-09-14,54.92269
2018-09-15,45.47693
2018-09-16,42.48968
2018-09-17,50.30523
2018-09-18,47.86653
2018-09-19,43.82448
2018-09-20,41.94434
2018-09-21,38.58532
2018-09-22,32.04964
2018-09-23,27.25742
2018-09-24,29.98893
2018-09-25,35.69547
2018-09-26,43.8371
2018-09-27,49.5236
2018-09-28,51.42878
2018-09-29,43.25629
2018-09-30,39.773
2018-10-01,48.43793
2018-10-02,44.71013
2018-10-03,43.87598
2018-10-04,46.0349
2018-10-05,39.50805
2018-10-06,38.96571
2018-10-07,39.14489
2018-10-08,44.61353
2018-10-09,46.02408
2018-10-10,45.27952
2018-10-11,42.92179
2018-10-12,38.90959
