년월,데이터 건수,평당 거래가,표준화된 데이터 건수
201801,734,2690.3711191772595,2.380411303322709
201802,473,2611.823118866504,1.1583960832960964
201803,349,2610.493932280855,0.5778218025171695
201804,158,2766.1289114467663,-0.31644987190843565
201805,188,2593.3429300962634,-0.1759883523651469
201806,207,2611.1885093619007,-0.08702938998773067
201807,277,2795.34350946105,0.24071415561327647
201808,783,2959.5048090399764,2.6098317852434136
201809,361,2937.006444038445,0.634006410334485
201810,138,2808.079021410668,-0.41009088493729484
201811,75,2861.1823749430973,-0.7050600759782013
201812,66,2652.713535076216,-0.7471985318411879
201901,102,3130.139513694733,-0.5786447083892414
201902,75,2866.6978321335414,-0.7050600759782013
201903,82,2740.4244663127065,-0.6722857214181006
201904,161,2998.2050566542525,-0.3024037199541068
201905,220,3174.413523181236,-0.026162731518972197
